Unnamed: 0.1,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
32521,32521,5nIrdpo8eXQU3YgZelEXkd,Vigiland;Tham Sway,Shots & Squats,Shots & Squats,64,171799,True,0.807,0.812,5,-5.009,0,0.106,0.00773,0.000501,0.236,0.242,128.012,4,electronic
32737,32737,55kDJdv7pymmG4URJlVTYR,Oliver Koletzki,The Arc of Tension,Tankwa Town,50,453506,False,0.736,0.401,7,-11.285,1,0.0476,0.102,0.293,0.0938,0.0543,100.008,4,electronic
32740,32740,6HfKUHjHuev7pYC0bFS1v5,Modeselektor,Tsugi Chill-Out,Tacken,1,200389,False,0.64,0.533,10,-8.951,0,0.0417,0.0867,0.24,0.17,0.176,103.027,4,electronic
32660,32660,2RoTe14GxtkU0ZzCgKys5X,Multani,Old World Songs in a New World Order,Kalyan,25,187684,False,0.763,0.414,1,-11.165,1,0.0845,0.0829,0.637,0.0552,0.498,125.0,4,electronic
32411,32411,2pSsHnjAgEPjHmet7ChlHQ,James Blake;SZA,Friends That Break Your Heart,Coming Back (feat. SZA),65,195905,True,0.653,0.496,10,-7.262,0,0.0868,0.625,0.274,0.151,0.102,86.013,4,electronic
32678,32678,7kXmJwrZGIhDaLT9sNo3ut,The Chemical Brothers,Surrender,Hey Boy Hey Girl,65,290493,False,0.632,0.92,2,-4.976,1,0.0531,0.119,0.508,0.114,0.363,127.001,4,electronic
32626,32626,5zSLlhe4kThCv0otCTv5CL,22 Void Beats;Sneaky Ollie;Milano The Don,Motivation,Motivation,38,118583,False,0.469,0.95,9,-6.459,1,0.443,0.0264,0.00453,0.19,0.312,149.883,4,electronic
32513,32513,5QRhs05R9MOXHQC2OOn5bq,Innellea,Distorted Youth EP,Loss Of Hope,45,439024,False,0.682,0.927,5,-6.129,0,0.0373,0.133,0.842,0.0918,0.113,122.998,4,electronic
32859,32859,4kJWtxDDNb9oAk3h7sX3N4,deadmau5,Strobe,Strobe,45,634151,False,0.436,0.524,8,-7.754,0,0.038,0.00947,0.901,0.114,0.0365,128.02,4,electronic
32136,32136,6re8Gb0JHD69k5B53tCAF6,HXE,Overnight,Overnight,49,73534,True,0.812,0.474,2,-6.966,1,0.36,0.168,4.89e-05,0.182,0.476,158.121,4,electronic
32811,32811,3x2djB2lM7twnO8D2M6A0C,Yellow Claw,Trap Anthem,Trap Anthem,46,147378,True,0.618,0.977,11,-2.615,0,0.216,0.00809,0.643,0.303,0.65,150.067,4,electronic
32076,32076,0RVmOh80HfpuygCBt2d1va,DJ Snake,Disco Maghreb,Disco Maghreb,64,184799,False,0.655,0.923,7,-3.5,1,0.216,0.0581,0.00259,0.382,0.45,99.961,4,electronic
32636,32636,5VN1XdYltgHjqsOh4kGrsD,Tunacola,Todos los Veranos del Mundo,Guachita,36,204173,False,0.418,0.655,3,-6.112,1,0.0523,0.518,2.08e-05,0.0834,0.376,73.825,4,electronic
32973,32973,6Lug1sWzQOhfySNlsmDNkI,Sahalé,Buddha Bar (by Sahalé & Ravin),Sapana,41,284709,False,0.823,0.521,2,-14.675,0,0.0361,0.73,0.823,0.119,0.431,110.025,4,electronic
32938,32938,6INLpBxo9F5QMer04VXEnd,Air,Moon Safari,Sexy Boy,59,298466,False,0.437,0.652,0,-6.152,1,0.0288,0.0011,0.614,0.111,0.211,111.888,4,electronic
32899,32899,4aJNMwyjD2xCEE2aWNbm2g,Francisca Valenzuela,Buen Soldado,Esta Soy Yo,35,198200,False,0.768,0.893,0,-4.443,1,0.0334,0.508,2.24e-05,0.0623,0.79,135.082,4,electronic
32280,32280,7ahLXEQsn8588vLthwT4ud,CA7RIEL,LIVRE,Vibra Alta,42,194666,False,0.739,0.726,11,-6.384,0,0.192,0.285,0.0,0.108,0.58,89.997,4,electronic
32883,32883,6eCRmIS436mdOdcUJbglWo,Space Motion,Twisted Voice,Twisted Voice,44,402439,False,0.815,0.849,11,-8.145,0,0.114,0.000629,0.718,0.625,0.522,123.016,4,electronic
32761,32761,0qmjmWM5WKoSWC7KCFnhcS,Dualist Inquiry;Kavya Trehan,Dreamcatcher,Zero Hour,26,226255,False,0.581,0.723,0,-8.381,1,0.0311,0.227,0.139,0.425,0.268,103.944,4,electronic
32319,32319,3rI6J22xq3t8RDpxIOBo1C,Four Tet,Parallel,Parallel 6,55,306970,False,0.711,0.635,4,-13.168,0,0.0537,0.66,0.96,0.194,0.646,124.034,4,electronic
32549,32549,27CiyWWdkSAM6mWfaNYaxt,Babasónicos,Repuesto de Fe (En Vivo),Irresponsables - En Vivo,37,164933,False,0.392,0.965,4,-4.841,0,0.06,0.00289,0.0,0.885,0.725,187.919,4,electronic
32174,32174,67Hna13dNDkZvBpTXRIaOJ,Massive Attack,Mezzanine,Teardrop,71,330773,False,0.615,0.419,11,-8.8,0,0.0395,0.0173,0.497,0.135,0.216,76.997,4,electronic
32371,32371,5q7AR3TkyCxlgxAjBMu4yL,Conro,Level Days,Therapy,59,186150,False,0.745,0.6,1,-8.863,1,0.118,0.0162,0.00271,0.0628,0.921,99.975,4,electronic
32527,32527,0gtAguNPDQ7JzK7HzYcUez,Bellorum,Front,Front,45,142400,False,0.61,0.923,6,-3.578,0,0.0431,0.000234,0.88,0.299,0.393,150.031,4,electronic
32210,32210,2UkoP24VFjCccfeCo8b6v4,Ghauri;Noor Chahal,Yaariyan Lofi Flip,Yaariyan Lofi Flip,33,157820,False,0.673,0.413,0,-8.787,0,0.0632,0.0239,7.73e-06,0.293,0.341,78.068,4,electronic
32235,32235,4Juaa2ppIOYcSWbrVtcrNp,Dillon Francis;Aleyna Tilki,Happy Machine,Real Love,63,135265,False,0.549,0.793,10,-4.313,0,0.104,0.0496,7.7e-05,0.0522,0.541,123.893,4,electronic
32101,32101,0ITaSRuI0L1RNL7ZNYTTi7,DJ Snake;Future,U Are My High (with Future),U Are My High (with Future),64,211200,False,0.602,0.824,0,-4.087,0,0.0547,0.0867,0.0,0.0947,0.442,125.147,4,electronic
32986,32986,3Z1UC4VQYymleh4Ko4Toch,HEDEGAARD;Era Wadi;CANCUN?,Don't Fuck With Me (feat. Era Wadi & CANCUN?),Don't Fuck With Me (feat. Era Wadi & CANCUN?),45,157810,True,0.82,0.812,0,-7.905,1,0.123,0.00325,1.07e-06,0.243,0.54,91.976,4,electronic
32902,32902,2WDjQJptGBH8ZOpXrBehBh,Yellow Claw;Angger Dimas,"Amsterdam Trap Music, Vol. 2 (Remixes)",Kaolo Pt.2 - Angger Dimas Remix,30,224718,False,0.576,0.937,6,-5.059,0,0.0464,0.000244,0.871,0.0903,0.334,100.979,4,electronic
32947,32947,1OMdHd8cKDcebpWRzwzTKD,Nxtwave,Nxtwave,Volar Contigo,33,225240,False,0.599,0.792,8,-4.675,1,0.0328,0.0976,1.04e-05,0.0777,0.265,98.978,4,electronic
32346,32346,63CNWkjnSpHpNGHEjzYYwZ,Babasónicos,Infame,Fan de Scorpions,41,134971,False,0.554,0.772,7,-7.366,1,0.0327,0.539,0.537,0.114,0.619,129.955,4,electronic
32139,32139,2LAbwhtxSdxvOjQRSNdVmF,Kavinsky,Halloween 2022,Rampage,0,175653,False,0.44,0.873,5,-3.015,0,0.0576,0.0124,0.0966,0.346,0.5,111.1,4,electronic
32621,32621,6NDt5z8GKIHub37hBQ4x18,Bob Moses,Days Gone By,Tearing Me Up,57,470093,False,0.705,0.403,0,-9.7,1,0.0438,0.172,0.00201,0.615,0.155,114.992,4,electronic
32499,32499,59XAQApPDhjfQJo3OCfX8M,Babasónicos,Discutible,Orfeo,38,245493,False,0.628,0.823,11,-4.756,0,0.0289,7.41e-05,6.57e-05,0.325,0.824,131.938,4,electronic
32370,32370,61EyDcgpYujFLrvd60da0l,Wuki;Vengaboys;Yo Majesty,We Like To Wuki,We Like To Wuki,52,161527,True,0.651,0.983,6,-3.201,0,0.0904,0.00519,0.566,0.307,0.211,140.94,4,electronic
32198,32198,6k0YrBhOalu9WxoIpmMdfH,Babasónicos,Infame,Sin mi diablo,44,181025,False,0.552,0.928,4,-6.613,1,0.0431,0.0424,0.0325,0.117,0.581,122.704,4,electronic
32687,32687,7aEivHwZvqNHoqsXoNKcWL,Tiga;Tiësto,Mind Dimension (Tiësto Remix),Mind Dimension - Tiësto Remix,60,220952,False,0.844,0.907,6,-5.432,1,0.147,0.0207,0.505,0.0419,0.0743,126.03,4,electronic
32584,32584,1c0HjUecvZcxnpB9siAriR,Dënver,Fuera De Campo,Revista De Gimnasia,37,230280,False,0.706,0.759,1,-5.873,0,0.0329,0.000596,0.00996,0.335,0.792,112.014,4,electronic
32901,32901,3Sgw46k6J4c00Y9XY0xzk1,Yellow Claw;Weird Genius;Novia Bachmid,Lonely,Lonely,49,172500,False,0.644,0.671,8,-7.884,1,0.0341,0.0149,0.00036,0.102,0.463,149.944,4,electronic
32059,32059,1gV0hgMNdpSWeW7ZjSUKnX,TroyBoi;Diplo;Nina Sky,Afterhours feat. Diplo & Nina Sky,Afterhours feat. Diplo & Nina Sky,58,275604,False,0.74,0.831,1,-3.828,1,0.0423,0.089,0.0,0.0837,0.357,91.026,4,electronic
32328,32328,7cEbICGWeFyBTmijsRtbjr,Ilija Djokovic,Vega / Neon,Vega,56,201290,False,0.707,0.839,2,-8.239,1,0.0408,0.172,0.815,0.0986,0.231,123.983,4,electronic
32096,32096,62ZseGNqgN8Zg4UxnLM0iC,Portishead,90's Music Grandi Successi,Glory Box,0,308626,False,0.51,0.433,1,-10.006,1,0.036,0.175,0.516,0.0603,0.208,119.695,4,electronic
32312,32312,7IVzMMlDsh4W4mIavGdKi0,Yellow Claw;Dirty Audio;Bok Nero,No Limit,No Limit,48,180800,True,0.452,0.994,2,-2.514,1,0.0773,0.0012,0.147,0.503,0.275,149.965,4,electronic
32974,32974,5MhMXTuVODDF234VDvSxQx,Tycho,Awake,Awake,58,283636,False,0.552,0.877,1,-5.765,1,0.0353,0.0585,0.899,0.0746,0.597,176.05,4,electronic
32299,32299,729noYG9gTUESAQBxVnCJN,Miranda!,El Disco de Tu Corazón,Prisionero,41,207933,False,0.638,0.875,7,-4.399,1,0.065,0.132,0.0,0.157,0.671,125.015,4,electronic
