Unnamed: 0.1,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,deemix_query,deemix_command,deemix_status,deemix_returncode,download_filepath,duplicate_of_row,immutable_key,file_sha256
32521,32521,5nIrdpo8eXQU3YgZelEXkd,Vigiland;Tham Sway,Shots & Squats,Shots & Squats,64,171799,True,0.807,0.812,5,-5.009,0,0.106,0.00773,0.000501,0.236,0.242,128.012,4,electronic,https://open.spotify.com/track/5nIrdpo8eXQU3YgZelEXkd,python -m deemix --path /Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/.staging/000001_5nIrdpo8eXQU3YgZelEXkd https://open.spotify.com/track/5nIrdpo8eXQU3YgZelEXkd,already_downloaded,,/Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/5nIrdpo8eXQU3YgZelEXkd.mp3,,5nIrdpo8eXQU3YgZelEXkd,8c5debe502e7963a6d4d219d34c0806dc9d084cefa1b0ead316c9a83170ed279
32737,32737,55kDJdv7pymmG4URJlVTYR,Oliver Koletzki,The Arc of Tension,Tankwa Town,50,453506,False,0.736,0.401,7,-11.285,1,0.0476,0.102,0.293,0.0938,0.0543,100.008,4,electronic,https://open.spotify.com/track/55kDJdv7pymmG4URJlVTYR,python -m deemix --path /Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/.staging/000002_55kDJdv7pymmG4URJlVTYR https://open.spotify.com/track/55kDJdv7pymmG4URJlVTYR,already_downloaded,,/Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/55kDJdv7pymmG4URJlVTYR.mp3,,55kDJdv7pymmG4URJlVTYR,9b87fa6e6fa36502bf7a41bb57dc7ee53ee503bbb9c2e00a5ac97e680a3fd11e
32740,32740,6HfKUHjHuev7pYC0bFS1v5,Modeselektor,Tsugi Chill-Out,Tacken,1,200389,False,0.64,0.533,10,-8.951,0,0.0417,0.0867,0.24,0.17,0.176,103.027,4,electronic,https://open.spotify.com/track/6HfKUHjHuev7pYC0bFS1v5,python -m deemix --path /Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/.staging/000003_6HfKUHjHuev7pYC0bFS1v5 https://open.spotify.com/track/6HfKUHjHuev7pYC0bFS1v5,already_downloaded,,/Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/6HfKUHjHuev7pYC0bFS1v5.mp3,,6HfKUHjHuev7pYC0bFS1v5,933dae1405a94f3a4afeb73046cbc460da0938708bd8d30ac4f43f29dcbf3fe1
32660,32660,2RoTe14GxtkU0ZzCgKys5X,Multani,Old World Songs in a New World Order,Kalyan,25,187684,False,0.763,0.414,1,-11.165,1,0.0845,0.0829,0.637,0.0552,0.498,125.0,4,electronic,https://open.spotify.com/track/2RoTe14GxtkU0ZzCgKys5X,python -m deemix --path /Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/.staging/000004_2RoTe14GxtkU0ZzCgKys5X https://open.spotify.com/track/2RoTe14GxtkU0ZzCgKys5X,already_downloaded,,/Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/2RoTe14GxtkU0ZzCgKys5X.mp3,,2RoTe14GxtkU0ZzCgKys5X,f597373c28d194eda0cf62a56256d25a2eb9d270b0accf70024b8a0c2caf18f2
32411,32411,2pSsHnjAgEPjHmet7ChlHQ,James Blake;SZA,Friends That Break Your Heart,Coming Back (feat. SZA),65,195905,True,0.653,0.496,10,-7.262,0,0.0868,0.625,0.274,0.151,0.102,86.013,4,electronic,https://open.spotify.com/track/2pSsHnjAgEPjHmet7ChlHQ,python -m deemix --path /Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/.staging/000005_2pSsHnjAgEPjHmet7ChlHQ https://open.spotify.com/track/2pSsHnjAgEPjHmet7ChlHQ,already_downloaded,,/Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/2pSsHnjAgEPjHmet7ChlHQ.mp3,,2pSsHnjAgEPjHmet7ChlHQ,87f150600dc81fc95e0d8f314e1f8f72185aa2d96b7bc3afef3323db88d65d35
32678,32678,7kXmJwrZGIhDaLT9sNo3ut,The Chemical Brothers,Surrender,Hey Boy Hey Girl,65,290493,False,0.632,0.92,2,-4.976,1,0.0531,0.119,0.508,0.114,0.363,127.001,4,electronic,https://open.spotify.com/track/7kXmJwrZGIhDaLT9sNo3ut,python -m deemix --path /Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/.staging/000006_7kXmJwrZGIhDaLT9sNo3ut https://open.spotify.com/track/7kXmJwrZGIhDaLT9sNo3ut,already_downloaded,,/Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/7kXmJwrZGIhDaLT9sNo3ut.mp3,,7kXmJwrZGIhDaLT9sNo3ut,df3dfa353e8d61fe6af38ea0d18522a6ea7abe51f04ffe5e959f3302d74ba9cb
32626,32626,5zSLlhe4kThCv0otCTv5CL,22 Void Beats;Sneaky Ollie;Milano The Don,Motivation,Motivation,38,118583,False,0.469,0.95,9,-6.459,1,0.443,0.0264,0.00453,0.19,0.312,149.883,4,electronic,https://open.spotify.com/track/5zSLlhe4kThCv0otCTv5CL,python -m deemix --path /Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/.staging/000007_5zSLlhe4kThCv0otCTv5CL https://open.spotify.com/track/5zSLlhe4kThCv0otCTv5CL,already_downloaded,,/Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/5zSLlhe4kThCv0otCTv5CL.mp3,,5zSLlhe4kThCv0otCTv5CL,46b1cb68b207ab7af280c565d22adc1caf057a95fcf7e6c63a1c655fec89073c
32513,32513,5QRhs05R9MOXHQC2OOn5bq,Innellea,Distorted Youth EP,Loss Of Hope,45,439024,False,0.682,0.927,5,-6.129,0,0.0373,0.133,0.842,0.0918,0.113,122.998,4,electronic,https://open.spotify.com/track/5QRhs05R9MOXHQC2OOn5bq,python -m deemix --path /Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/.staging/000008_5QRhs05R9MOXHQC2OOn5bq https://open.spotify.com/track/5QRhs05R9MOXHQC2OOn5bq,already_downloaded,,/Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/5QRhs05R9MOXHQC2OOn5bq.mp3,,5QRhs05R9MOXHQC2OOn5bq,fbfab728e025f5dec77e908c7856fe2ede2fcf6ba782b8bc16cd4a98afb7a003
32859,32859,4kJWtxDDNb9oAk3h7sX3N4,deadmau5,Strobe,Strobe,45,634151,False,0.436,0.524,8,-7.754,0,0.038,0.00947,0.901,0.114,0.0365,128.02,4,electronic,https://open.spotify.com/track/4kJWtxDDNb9oAk3h7sX3N4,python -m deemix --path /Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/.staging/000009_4kJWtxDDNb9oAk3h7sX3N4 https://open.spotify.com/track/4kJWtxDDNb9oAk3h7sX3N4,already_downloaded,,/Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/4kJWtxDDNb9oAk3h7sX3N4.mp3,,4kJWtxDDNb9oAk3h7sX3N4,5ff1e708c2a5420ea8950c81fef59cb83083c77ec70eb0de9d1afd127a1c1133
32136,32136,6re8Gb0JHD69k5B53tCAF6,HXE,Overnight,Overnight,49,73534,True,0.812,0.474,2,-6.966,1,0.36,0.168,4.89e-05,0.182,0.476,158.121,4,electronic,https://open.spotify.com/track/6re8Gb0JHD69k5B53tCAF6,python -m deemix --path /Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/.staging/000010_6re8Gb0JHD69k5B53tCAF6 https://open.spotify.com/track/6re8Gb0JHD69k5B53tCAF6,already_downloaded,,/Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/6re8Gb0JHD69k5B53tCAF6.mp3,,6re8Gb0JHD69k5B53tCAF6,6e4e989430b9d2306ff73e7473836104112c4ad3cce4193e15f6796d9d052c53
32811,32811,3x2djB2lM7twnO8D2M6A0C,Yellow Claw,Trap Anthem,Trap Anthem,46,147378,True,0.618,0.977,11,-2.615,0,0.216,0.00809,0.643,0.303,0.65,150.067,4,electronic,https://open.spotify.com/track/3x2djB2lM7twnO8D2M6A0C,python -m deemix --path /Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/.staging/000011_3x2djB2lM7twnO8D2M6A0C https://open.spotify.com/track/3x2djB2lM7twnO8D2M6A0C,already_downloaded,,/Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/3x2djB2lM7twnO8D2M6A0C.mp3,,3x2djB2lM7twnO8D2M6A0C,c6b79b8809534d64d22aa79fa176d868aa3cc9acc74976b5a155a5b42783bbe4
32076,32076,0RVmOh80HfpuygCBt2d1va,DJ Snake,Disco Maghreb,Disco Maghreb,64,184799,False,0.655,0.923,7,-3.5,1,0.216,0.0581,0.00259,0.382,0.45,99.961,4,electronic,https://open.spotify.com/track/0RVmOh80HfpuygCBt2d1va,python -m deemix --path /Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/.staging/000012_0RVmOh80HfpuygCBt2d1va https://open.spotify.com/track/0RVmOh80HfpuygCBt2d1va,already_downloaded,,/Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/0RVmOh80HfpuygCBt2d1va.mp3,,0RVmOh80HfpuygCBt2d1va,fe41659d35ccfc49be176c6ba8a1a904455e35632fec931770c51245264caf64
32636,32636,5VN1XdYltgHjqsOh4kGrsD,Tunacola,Todos los Veranos del Mundo,Guachita,36,204173,False,0.418,0.655,3,-6.112,1,0.0523,0.518,2.08e-05,0.0834,0.376,73.825,4,electronic,https://open.spotify.com/track/5VN1XdYltgHjqsOh4kGrsD,python -m deemix --path /Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/.staging/000013_5VN1XdYltgHjqsOh4kGrsD https://open.spotify.com/track/5VN1XdYltgHjqsOh4kGrsD,already_downloaded,,/Volumes/MZ Music/genre-classifier/data/raw/deemix_downloads/5VN1XdYltgHjqsOh4kGrsD.mp3,,5VN1XdYltgHjqsOh4kGrsD,b97c894463af6ee9385a09798c8aed82fe3a052a0034cc8e0c09c6b474331773
